,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
6826,MH370363,Unassigned,Unassigned,Unassigned,653_0,Clustered,112,VC_653_0,112,0.7111,1.0,0.7111,0,0,0,0.9131
6827,MH370364,Unassigned,Unassigned,Unassigned,34_0,Clustered,6,VC_34_0,6,0.1554,1.0,0.1554,0,0,0,0.8667
6828,MH370365,Unassigned,Unassigned,Unassigned,653_0,Clustered,112,VC_653_0,112,0.7111,1.0,0.7111,0,0,0,0.9131
6829,MH370366,Unassigned,Unassigned,Unassigned,199_7,Clustered,2,VC_199_7,2,0.0056,0.79983275,0.0044,0,0,0,1.0
6830,MH370367,Unassigned,Unassigned,Unassigned,199_1,Clustered,4,VC_199_1,4,0.0173,0.99967394,0.0173,0,0,0,1.0
6831,MH370368,Unassigned,Unassigned,Unassigned,140_9,Clustered,3,VC_140_9,3,0.0102,0.96857288,0.0099,0,0,0,1.0
6832,MH370369,Unassigned,Unassigned,Unassigned,199_13,Clustered,13,VC_199_13,13,0.0717,1.0,0.0717,0,0,0,0.9359
6833,MH370370,Unassigned,Unassigned,Unassigned,140_24,Clustered,7,VC_140_24,7,0.0309,0.9999997,0.0309,0,0,0,0.9524
6834,MH370371,Unassigned,Unassigned,Unassigned,140_9,Clustered,3,VC_140_9,3,0.0102,0.96857288,0.0099,0,0,0,1.0
6835,MH370372,Unassigned,Unassigned,Unassigned,653_0,Clustered,112,VC_653_0,112,0.7111,1.0,0.7111,0,0,0,0.9131
6836,MH370373,Unassigned,Unassigned,Unassigned,653_0,Clustered,112,VC_653_0,112,0.7111,1.0,0.7111,0,0,0,0.9131
6837,MH370374,Unassigned,Unassigned,Unassigned,653_0,Clustered,112,VC_653_0,112,0.7111,1.0,0.7111,0,0,0,0.9131
6838,MH370375,Unassigned,Unassigned,Unassigned,199_30,Clustered/Singleton,1,VC_199_30,1,0.0,0.0,0.0,0,0,0,1.0
6839,MH370376,Unassigned,Unassigned,Unassigned,199_2,Clustered,3,VC_199_2,3,0.0113,0.98667679,0.0111,0,0,0,1.0
6840,MH370377,Unassigned,Unassigned,Unassigned,198_13,Clustered,4,VC_198_13,4,0.0217,0.99994706,0.0217,0,0,0,1.0
6841,MH370378,Unassigned,Unassigned,Unassigned,198_13,Clustered,4,VC_198_13,4,0.0217,0.99994706,0.0217,0,0,0,1.0
6842,MH370379,Unassigned,Unassigned,Unassigned,199_19,Clustered/Singleton,1,VC_199_19,1,0.0,0.0,0.0,0,0,0,1.0
6843,MH370380,Unassigned,Unassigned,Unassigned,199_1,Clustered,4,VC_199_1,4,0.0173,0.99967394,0.0173,0,0,0,1.0
6844,MH370381,Unassigned,Unassigned,Unassigned,653_0,Clustered,112,VC_653_0,112,0.7111,1.0,0.7111,0,0,0,0.9131
6845,MH370382,Unassigned,Unassigned,Unassigned,34_0,Clustered,6,VC_34_0,6,0.1554,1.0,0.1554,0,0,0,0.8667
6846,MH370383,Unassigned,Unassigned,Unassigned,34_0,Clustered,6,VC_34_0,6,0.1554,1.0,0.1554,0,0,0,0.8667
6847,MH370384,Unassigned,Unassigned,Unassigned,653_0,Clustered,112,VC_653_0,112,0.7111,1.0,0.7111,0,0,0,0.9131
6848,MH370385,Unassigned,Unassigned,Unassigned,653_0,Clustered,112,VC_653_0,112,0.7111,1.0,0.7111,0,0,0,0.9131
6849,MH370386,Unassigned,Unassigned,Unassigned,199_8,Clustered,6,VC_199_8,6,0.0289,0.99999996,0.0289,0,0,0,1.0
6850,MH370387,Unassigned,Unassigned,Unassigned,31_0,Clustered,48,VC_31_0,48,0.6892,1.0,0.6892,0,0,0,0.9858
6851,MH370477,Unassigned,Unassigned,Unassigned,454_0,Clustered,2,VC_454_0,2,0.0183,0.91562911,0.0168,0,0,0,1.0
6852,MH370478,Unassigned,Unassigned,Unassigned,80_0,Clustered,37,VC_80_0,37,0.9453,1.0,0.9453,0,0,0,1.0
6853,MH371108,Unassigned,Unassigned,Unassigned,863_0,Clustered,6,VC_863_0,6,0.3248,1.0,0.3248,0,0,0,1.0
6854,MH371109,Unassigned,Unassigned,Unassigned,863_0,Clustered,6,VC_863_0,6,0.3248,1.0,0.3248,0,0,0,1.0
6855,MH371110,Unassigned,Unassigned,Unassigned,327_39,Clustered,2,VC_327_39,2,0.0044,0.91499299,0.004,0,0,0,1.0
6856,MH371111,Unassigned,Unassigned,Unassigned,1329_0,Clustered,72,VC_1329_0,72,1.0,0.0,0.0,0,0,0,1.0
6857,MH371112,Unassigned,Unassigned,Unassigned,574_3,Clustered,20,VC_574_3,20,0.1111,1.0,0.1111,0,0,0,0.8684
6858,MH371113,Unassigned,Unassigned,Unassigned,242_0,Clustered,69,VC_242_0,69,0.7874,1.0,0.7874,0,0,0,1.0
6859,MH371114,Unassigned,Unassigned,Unassigned,374_1,Clustered,40,VC_374_1,40,0.1269,1.0,0.1269,0,0,0,0.7551
6860,MH371115,Unassigned,Unassigned,Unassigned,547_39,Clustered,4,VC_547_39,4,0.0391,0.99997543,0.0391,0,0,0,1.0
6861,MH371116,Unassigned,Unassigned,Unassigned,771_0,Clustered,63,VC_771_0,63,0.889,1.0,0.889,0,0,0,1.0
6862,MH371117,Unassigned,Unassigned,Unassigned,374_1,Clustered,40,VC_374_1,40,0.1269,1.0,0.1269,0,0,0,0.7551
6863,MH371118,Unassigned,Unassigned,Unassigned,1329_0,Clustered,72,VC_1329_0,72,1.0,0.0,0.0,0,0,0,1.0
6864,MH371119,Unassigned,Unassigned,Unassigned,771_0,Clustered,63,VC_771_0,63,0.889,1.0,0.889,0,0,0,1.0
6865,MH371120,Unassigned,Unassigned,Unassigned,547_42,Clustered,2,VC_547_42,2,0.0076,0.91194703,0.0069,0,0,0,1.0
6866,MH371121,Unassigned,Unassigned,Unassigned,541_0,Clustered,75,VC_541_0,75,0.9419,1.0,0.9419,0,0,0,1.0
6867,MH371122,Unassigned,Unassigned,Unassigned,226_0,Clustered,31,VC_226_0,31,0.8319,1.0,0.8319,0,0,0,1.0
6868,MH371123,Unassigned,Unassigned,Unassigned,547_4,Clustered,2,VC_547_4,2,0.0087,0.9151659,0.008,0,0,0,1.0
6869,MH371124,Unassigned,Unassigned,Unassigned,1329_0,Clustered,72,VC_1329_0,72,1.0,0.0,0.0,0,0,0,1.0
6870,MH371125,Unassigned,Unassigned,Unassigned,374_1,Clustered,40,VC_374_1,40,0.1269,1.0,0.1269,0,0,0,0.7551
6871,MH375074,Unassigned,Unassigned,Unassigned,701_0,Clustered,45,VC_701_0,45,0.821,1.0,0.821,0,0,0,1.0
6872,MH375593,Unassigned,Unassigned,Unassigned,259_0,Clustered,46,VC_259_0,46,0.5207,1.0,0.5207,0,0,0,1.0
6873,MH375594,Unassigned,Unassigned,Unassigned,258_0,Clustered,121,VC_258_0,121,0.7413,1.0,0.7413,0,0,0,0.9986
6874,MH375595,Unassigned,Unassigned,Unassigned,258_0,Clustered,121,VC_258_0,121,0.7413,1.0,0.7413,0,0,0,0.9986
6875,MH375596,Unassigned,Unassigned,Unassigned,258_0,Clustered,121,VC_258_0,121,0.7413,1.0,0.7413,0,0,0,0.9986
6876,MH375597,Unassigned,Unassigned,Unassigned,258_0,Clustered,121,VC_258_0,121,0.7413,1.0,0.7413,0,0,0,0.9986
6877,MH375598,Unassigned,Unassigned,Unassigned,258_0,Clustered,121,VC_258_0,121,0.7413,1.0,0.7413,0,0,0,0.9986
6878,MH375599,Unassigned,Unassigned,Unassigned,258_0,Clustered,121,VC_258_0,121,0.7413,1.0,0.7413,0,0,0,0.9986
6879,MH375600,Unassigned,Unassigned,Unassigned,258_0,Clustered,121,VC_258_0,121,0.7413,1.0,0.7413,0,0,0,0.9986
6880,MH378441,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
6881,MH378442,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
6882,MH378443,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
6883,MH382198,Unassigned,Unassigned,Unassigned,423_0,Clustered,123,VC_423_0,123,0.9557,1.0,0.9557,0,0,0,1.0
6884,MH383160,Unassigned,Unassigned,Unassigned,167_9,Clustered,10,VC_167_9,10,0.1618,0.99996176,0.1617,0,0,0,0.9111
6885,MH384259,Unassigned,Unassigned,Unassigned,10_0,Clustered,21,VC_10_0,21,0.3238,1.0,0.3238,0,0,0,1.0
6886,MH384260,Unassigned,Unassigned,Unassigned,8_0,Clustered,26,VC_8_0,26,0.393,1.0,0.393,0,0,0,0.9969
6887,MH384261,Unassigned,Unassigned,Unassigned,9_0,Clustered,43,VC_9_0,43,0.8225,1.0,0.8225,0,0,0,1.0
6888,MH389777,Unassigned,Unassigned,Unassigned,71_4,Clustered,4,VC_71_4,4,0.0432,0.8188607,0.0353,0,0,0,1.0
6889,MH393889,Unassigned,Unassigned,Unassigned,900_0,Clustered,3,VC_900_0,3,0.1976,0.99576074,0.1968,0,0,0,1.0
6890,MH399771,Unassigned,Unassigned,Unassigned,547_37,Clustered/Singleton,1,VC_547_37,1,0.0,0.0,0.0,0,0,0,1.0
6891,MH399772,Unassigned,Unassigned,Unassigned,571_0,Clustered,2,VC_571_0,2,0.0136,0.27497195,0.0037,0,0,0,1.0
6892,MH399773,Unassigned,Unassigned,Unassigned,374_1,Clustered,40,VC_374_1,40,0.1269,1.0,0.1269,0,0,0,0.7551
6893,MH399774,Unassigned,Unassigned,Unassigned,574_0,Clustered,18,VC_574_0,18,0.1056,1.0,0.1056,0,0,0,0.6667
6894,MH399775,Unassigned,Unassigned,Unassigned,374_10,Clustered,41,VC_374_10,41,0.1305,1.0,0.1305,0,0,0,0.75
6895,MH399776,Unassigned,Unassigned,Unassigned,541_0,Clustered,75,VC_541_0,75,0.9419,1.0,0.9419,0,0,0,1.0
6896,MH399777,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
6897,MH399778,Unassigned,Unassigned,Unassigned,574_0,Clustered,18,VC_574_0,18,0.1056,1.0,0.1056,0,0,0,0.6667
6898,MH399779,Unassigned,Unassigned,Unassigned,863_1,Clustered,12,VC_863_1,12,0.6011,1.0,0.6011,0,0,0,1.0
6899,MH399780,Unassigned,Unassigned,Unassigned,374_1,Clustered,40,VC_374_1,40,0.1269,1.0,0.1269,0,0,0,0.7551
6900,MH399781,Unassigned,Unassigned,Unassigned,956_0,Clustered,13,VC_956_0,13,0.8721,1.0,0.8721,0,0,0,1.0
6901,MH399782,Unassigned,Unassigned,Unassigned,327_29,Clustered,7,VC_327_29,7,0.0251,1.0,0.0251,0,0,0,0.9524
6902,MH399783,Unassigned,Unassigned,Unassigned,1329_0,Clustered,72,VC_1329_0,72,1.0,0.0,0.0,0,0,0,1.0
6903,MH399784,Unassigned,Unassigned,Unassigned,547_40,Clustered,7,VC_547_40,7,0.0623,1.0,0.0623,0,0,0,0.8571
6904,MH399785,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
6905,MH399786,Unassigned,Unassigned,Unassigned,374_10,Clustered,41,VC_374_10,41,0.1305,1.0,0.1305,0,0,0,0.75
6906,MH399787,Unassigned,Unassigned,Unassigned,548_0,Clustered,36,VC_548_0,36,0.9151,1.0,0.9151,0,0,0,1.0
6907,MH399788,Unassigned,Unassigned,Unassigned,588_0,Clustered,20,VC_588_0,20,0.8477,1.0,0.8477,0,0,0,1.0
6908,MH399789,Unassigned,Unassigned,Unassigned,1168_0,Clustered,23,VC_1168_0,23,0.7272,1.0,0.7272,0,0,0,1.0
6909,MH400309,Unassigned,Unassigned,Unassigned,481_0,Clustered,79,VC_481_0,79,0.9991,1.0,0.9991,0,0,0,1.0
6910,MH401414,Unassigned,Unassigned,Unassigned,8_0,Clustered,26,VC_8_0,26,0.393,1.0,0.393,0,0,0,0.9969
6911,MH401415,Unassigned,Unassigned,Unassigned,8_0,Clustered,26,VC_8_0,26,0.393,1.0,0.393,0,0,0,0.9969
6912,MH401416,Unassigned,Unassigned,Unassigned,10_0,Clustered,21,VC_10_0,21,0.3238,1.0,0.3238,0,0,0,1.0
6913,MH412654,Unassigned,Unassigned,Unassigned,463_1,Clustered/Singleton,1,VC_463_1,1,0.0,0.0,0.0,0,0,0,1.0
6914,MH422554,Unassigned,Unassigned,Unassigned,87_0,Clustered,13,VC_87_0,13,0.9067,1.0,0.9067,0,0,0,0.9615
6915,MH424443,Unassigned,Unassigned,Unassigned,653_0,Clustered,112,VC_653_0,112,0.7111,1.0,0.7111,0,0,0,0.9131
6916,MH424444,Unassigned,Unassigned,Unassigned,566_0,Clustered,14,VC_566_0,14,0.2817,1.0,0.2817,0,0,0,1.0
6917,MH424445,Unassigned,Unassigned,Unassigned,653_0,Clustered,112,VC_653_0,112,0.7111,1.0,0.7111,0,0,0,0.9131
6918,MH424446,Unassigned,Unassigned,Unassigned,490_0,Clustered,97,VC_490_0,97,0.9136,1.0,0.9136,0,0,0,0.9805
6919,MH426724,Unassigned,Unassigned,Unassigned,960_1,Clustered,3,VC_960_1,3,0.0242,0.46864427,0.0113,0,0,0,1.0
6920,MH426725,Unassigned,Unassigned,Unassigned,330_0,Clustered,10,VC_330_0,10,0.3752,1.0,0.3752,0,0,0,1.0
6921,MH426726,Unassigned,Unassigned,Unassigned,364_0,Clustered,7,VC_364_0,7,0.3674,1.0,0.3674,0,0,0,1.0
6922,MH427377,Unassigned,Unassigned,Unassigned,140_33,Clustered,12,VC_140_33,12,0.0665,1.0,0.0665,0,0,0,0.8636
6923,MH431931,Unassigned,Unassigned,Unassigned,729_0,Clustered,45,VC_729_0,45,0.8533,1.0,0.8533,0,0,0,1.0
6924,MH431932,Unassigned,Unassigned,Unassigned,729_0,Clustered,45,VC_729_0,45,0.8533,1.0,0.8533,0,0,0,1.0
6925,MH431933,Unassigned,Unassigned,Unassigned,729_0,Clustered,45,VC_729_0,45,0.8533,1.0,0.8533,0,0,0,1.0
6926,MH431934,Unassigned,Unassigned,Unassigned,729_0,Clustered,45,VC_729_0,45,0.8533,1.0,0.8533,0,0,0,1.0
6927,MH431935,Unassigned,Unassigned,Unassigned,729_0,Clustered,45,VC_729_0,45,0.8533,1.0,0.8533,0,0,0,1.0
6928,MH431936,Unassigned,Unassigned,Unassigned,729_0,Clustered,45,VC_729_0,45,0.8533,1.0,0.8533,0,0,0,1.0
6929,MH431937,Unassigned,Unassigned,Unassigned,729_0,Clustered,45,VC_729_0,45,0.8533,1.0,0.8533,0,0,0,1.0
6930,MH431938,Unassigned,Unassigned,Unassigned,1096_0,Clustered,8,VC_1096_0,8,0.8165,1.0,0.8165,0,0,0,1.0
6931,MH443100,Unassigned,Unassigned,Unassigned,67_0,Clustered/Singleton,1,VC_67_0,1,0.0,0.0,0.0,0,0,0,1.0
6932,MH444512,Unassigned,Unassigned,Unassigned,860_0,Clustered,2,VC_860_0,2,0.8421,0.73644752,0.6202,0,0,0,1.0
6933,MH445380,Unassigned,Unassigned,Unassigned,87_0,Clustered,13,VC_87_0,13,0.9067,1.0,0.9067,0,0,0,0.9615
6934,MH445381,Unassigned,Unassigned,Unassigned,87_0,Clustered,13,VC_87_0,13,0.9067,1.0,0.9067,0,0,0,0.9615
6935,MH445453,Unassigned,Unassigned,Unassigned,937_0,Clustered,64,VC_937_0,64,0.8744,1.0,0.8744,0,0,0,1.0
6936,MH447526,Unassigned,Unassigned,Unassigned,1337_0,Clustered,3,VC_1337_0,3,0.9833,0.9,0.885,0,0,0,1.0
6937,MH450113,Unassigned,Unassigned,Unassigned,327_12,Clustered,15,VC_327_12,15,0.0661,1.0,0.0661,0,0,0,0.6762
6938,MH450114,Unassigned,Unassigned,Unassigned,1171_0,Clustered,6,VC_1171_0,6,0.8626,0.99999891,0.8626,0,0,0,1.0
6939,MH450115,Unassigned,Unassigned,Unassigned,1168_0,Clustered,23,VC_1168_0,23,0.7272,1.0,0.7272,0,0,0,1.0
6940,MH450116,Unassigned,Unassigned,Unassigned,374_2,Clustered,25,VC_374_2,25,0.0793,1.0,0.0793,0,0,0,0.7033
6941,MH450117,Unassigned,Unassigned,Unassigned,1164_0,Clustered,72,VC_1164_0,72,0.9806,1.0,0.9806,0,0,0,1.0
6942,MH450118,Unassigned,Unassigned,Unassigned,1164_0,Clustered,72,VC_1164_0,72,0.9806,1.0,0.9806,0,0,0,1.0
6943,MH450119,Unassigned,Unassigned,Unassigned,541_0,Clustered,75,VC_541_0,75,0.9419,1.0,0.9419,0,0,0,1.0
6944,MH450120,Unassigned,Unassigned,Unassigned,817_0,Clustered,16,VC_817_0,16,0.8312,1.0,0.8312,0,0,0,1.0
6945,MH450121,Unassigned,Unassigned,Unassigned,1164_0,Clustered,72,VC_1164_0,72,0.9806,1.0,0.9806,0,0,0,1.0
6946,MH450122,Unassigned,Unassigned,Unassigned,374_2,Clustered,25,VC_374_2,25,0.0793,1.0,0.0793,0,0,0,0.7033
6947,MH450123,Unassigned,Unassigned,Unassigned,1039_0,Clustered,5,VC_1039_0,5,0.3519,0.9999994,0.3519,0,0,0,0.8
6948,MH450124,Unassigned,Unassigned,Unassigned,541_0,Clustered,75,VC_541_0,75,0.9419,1.0,0.9419,0,0,0,1.0
6949,MH450125,Unassigned,Unassigned,Unassigned,1168_0,Clustered,23,VC_1168_0,23,0.7272,1.0,0.7272,0,0,0,1.0
6950,MH450126,Unassigned,Unassigned,Unassigned,541_0,Clustered,75,VC_541_0,75,0.9419,1.0,0.9419,0,0,0,1.0
6951,MH450127,Unassigned,Unassigned,Unassigned,771_0,Clustered,63,VC_771_0,63,0.889,1.0,0.889,0,0,0,1.0
6952,MH450128,Unassigned,Unassigned,Unassigned,541_0,Clustered,75,VC_541_0,75,0.9419,1.0,0.9419,0,0,0,1.0
6953,MH450129,Unassigned,Unassigned,Unassigned,1102_0,Clustered,37,VC_1102_0,37,0.8303,1.0,0.8303,0,0,0,1.0
6954,MH450130,Unassigned,Unassigned,Unassigned,327_12,Clustered,15,VC_327_12,15,0.0661,1.0,0.0661,0,0,0,0.6762
6955,MH450131,Unassigned,Unassigned,Unassigned,1164_0,Clustered,72,VC_1164_0,72,0.9806,1.0,0.9806,0,0,0,1.0
6956,MH450132,Unassigned,Unassigned,Unassigned,916_0,Clustered,34,VC_916_0,34,0.8978,1.0,0.8978,0,0,0,1.0
6957,MH450133,Unassigned,Unassigned,Unassigned,327_2,Clustered,8,VC_327_2,8,0.0405,1.0,0.0405,0,0,0,0.7857
6958,MH454076,Unassigned,Unassigned,Unassigned,1096_0,Clustered,8,VC_1096_0,8,0.8165,1.0,0.8165,0,0,0,1.0
6959,MH454077,Unassigned,Unassigned,Unassigned,729_0,Clustered,45,VC_729_0,45,0.8533,1.0,0.8533,0,0,0,1.0
6960,MH454078,Unassigned,Unassigned,Unassigned,729_0,Clustered,45,VC_729_0,45,0.8533,1.0,0.8533,0,0,0,1.0
6961,MH454079,Unassigned,Unassigned,Unassigned,729_0,Clustered,45,VC_729_0,45,0.8533,1.0,0.8533,0,0,0,1.0
6962,MH454080,Unassigned,Unassigned,Unassigned,1096_0,Clustered,8,VC_1096_0,8,0.8165,1.0,0.8165,0,0,0,1.0
6963,MH454082,Unassigned,Unassigned,Unassigned,729_0,Clustered,45,VC_729_0,45,0.8533,1.0,0.8533,0,0,0,1.0
6964,MH454083,Unassigned,Unassigned,Unassigned,729_0,Clustered,45,VC_729_0,45,0.8533,1.0,0.8533,0,0,0,1.0
6965,MH454084,Unassigned,Unassigned,Unassigned,729_0,Clustered,45,VC_729_0,45,0.8533,1.0,0.8533,0,0,0,1.0
6966,MH460459,Unassigned,Unassigned,Unassigned,424_0,Clustered,7,VC_424_0,7,0.1708,1.0,0.1708,0,0,0,1.0
6967,MH460460,Unassigned,Unassigned,Unassigned,71_4,Clustered,4,VC_71_4,4,0.0432,0.8188607,0.0353,0,0,0,1.0
6968,MH460461,Unassigned,Unassigned,Unassigned,71_4,Clustered,4,VC_71_4,4,0.0432,0.8188607,0.0353,0,0,0,1.0
6969,MH460462,Unassigned,Unassigned,Unassigned,71_4,Clustered,4,VC_71_4,4,0.0432,0.8188607,0.0353,0,0,0,1.0
6970,MH460463,Unassigned,Unassigned,Unassigned,71_3,Clustered,20,VC_71_3,20,0.3544,1.0,0.3544,0,0,0,1.0
6971,MH460824,Unassigned,Unassigned,Unassigned,1096_0,Clustered,8,VC_1096_0,8,0.8165,1.0,0.8165,0,0,0,1.0
6972,MH460825,Unassigned,Unassigned,Unassigned,1096_0,Clustered,8,VC_1096_0,8,0.8165,1.0,0.8165,0,0,0,1.0
6973,MH460826,Unassigned,Unassigned,Unassigned,1096_0,Clustered,8,VC_1096_0,8,0.8165,1.0,0.8165,0,0,0,1.0
6974,MH460827,Unassigned,Unassigned,Unassigned,1096_0,Clustered,8,VC_1096_0,8,0.8165,1.0,0.8165,0,0,0,1.0
6975,MH460829,Unassigned,Unassigned,Unassigned,709_1,Clustered,27,VC_709_1,27,0.7129,1.0,0.7129,0,0,0,0.8148
6976,MH464253,Unassigned,Unassigned,Unassigned,481_0,Clustered,79,VC_481_0,79,0.9991,1.0,0.9991,0,0,0,1.0
6977,MH479909,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
6978,MH479910,Unassigned,Unassigned,Unassigned,1180_0,Clustered,22,VC_1180_0,22,0.9408,1.0,0.9408,0,0,0,1.0
6979,MH479911,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
6980,MH479912,Unassigned,Unassigned,Unassigned,553_0,Clustered,23,VC_553_0,23,0.4236,1.0,0.4236,0,0,0,1.0
6981,MH479913,Unassigned,Unassigned,Unassigned,1183_0,Clustered,6,VC_1183_0,6,0.9952,0.99993948,0.9952,0,0,0,1.0
6982,MH479914,Unassigned,Unassigned,Unassigned,374_2,Clustered,25,VC_374_2,25,0.0793,1.0,0.0793,0,0,0,0.7033
6983,MH479915,Unassigned,Unassigned,Unassigned,1179_0,Clustered,14,VC_1179_0,14,0.8068,1.0,0.8068,0,0,0,0.989
6984,MH479917,Unassigned,Unassigned,Unassigned,1180_0,Clustered,22,VC_1180_0,22,0.9408,1.0,0.9408,0,0,0,1.0
6985,MH479919,Unassigned,Unassigned,Unassigned,327_2,Clustered,8,VC_327_2,8,0.0405,1.0,0.0405,0,0,0,0.7857
6986,MH479920,Unassigned,Unassigned,Unassigned,771_0,Clustered,63,VC_771_0,63,0.889,1.0,0.889,0,0,0,1.0
6987,MH479921,Unassigned,Unassigned,Unassigned,374_2,Clustered,25,VC_374_2,25,0.0793,1.0,0.0793,0,0,0,0.7033
6988,MH479923,Unassigned,Unassigned,Unassigned,876_0,Clustered,5,VC_876_0,5,0.3584,0.99999993,0.3584,0,0,0,1.0
6989,MH479924,Unassigned,Unassigned,Unassigned,1102_0,Clustered,37,VC_1102_0,37,0.8303,1.0,0.8303,0,0,0,1.0
6990,MH479925,Unassigned,Unassigned,Unassigned,1183_0,Clustered,6,VC_1183_0,6,0.9952,0.99993948,0.9952,0,0,0,1.0
6991,MH479926,Unassigned,Unassigned,Unassigned,1168_0,Clustered,23,VC_1168_0,23,0.7272,1.0,0.7272,0,0,0,1.0
6992,MH479927,Unassigned,Unassigned,Unassigned,553_0,Clustered,23,VC_553_0,23,0.4236,1.0,0.4236,0,0,0,1.0
6993,MH487649,Unassigned,Unassigned,Unassigned,190_1,Clustered,7,VC_190_1,7,0.1428,1.0,0.1428,0,0,0,1.0
6994,MH491167,Unassigned,Unassigned,Unassigned,481_0,Clustered,79,VC_481_0,79,0.9991,1.0,0.9991,0,0,0,1.0
6995,MH491968,Unassigned,Unassigned,Unassigned,607_0,Clustered,26,VC_607_0,26,0.7642,1.0,0.7642,0,0,0,1.0
6996,MH491969,Unassigned,Unassigned,Unassigned,784_4,Clustered,25,VC_784_4,25,0.1752,0.99999147,0.1752,0,0,0,0.7
6997,MH494197,Unassigned,Unassigned,Unassigned,167_1,Clustered/Singleton,1,VC_167_1,1,0.0,0.0,0.0,0,0,0,1.0
6998,MH509443,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
6999,MH509444,Unassigned,Unassigned,Unassigned,242_0,Clustered,69,VC_242_0,69,0.7874,1.0,0.7874,0,0,0,1.0
7000,MH509445,Unassigned,Unassigned,Unassigned,590_0,Clustered,8,VC_590_0,8,0.5095,1.0,0.5095,0,0,0,1.0
7001,MH509446,Unassigned,Unassigned,Unassigned,956_0,Clustered,13,VC_956_0,13,0.8721,1.0,0.8721,0,0,0,1.0
7002,MH509447,Unassigned,Unassigned,Unassigned,1229_0,Clustered,39,VC_1229_0,39,1.0,0.0,0.0,0,0,0,1.0
7003,MH512890,Unassigned,Unassigned,Unassigned,665_0,Clustered,2,VC_665_0,2,0.0113,0.91403229,0.0103,0,0,0,1.0
7004,MH513970,Unassigned,Unassigned,Unassigned,376_3,Clustered,23,VC_376_3,23,0.5471,1.0,0.5471,0,0,0,1.0
7005,MH513971,Unassigned,Unassigned,Unassigned,327_22,Clustered,2,VC_327_22,2,0.0042,0.91136573,0.0038,0,0,0,0.0
7006,MH513972,Unassigned,Unassigned,Unassigned,574_2,Clustered,16,VC_574_2,16,0.0912,1.0,0.0912,0,0,0,0.9333
7007,MH513974,Unassigned,Unassigned,Unassigned,233_0,Clustered,18,VC_233_0,18,0.9122,1.0,0.9122,0,0,0,1.0
7008,MH513975,Unassigned,Unassigned,Unassigned,541_0,Clustered,75,VC_541_0,75,0.9419,1.0,0.9419,0,0,0,1.0
7009,MH513976,Unassigned,Unassigned,Unassigned,537_0,Clustered,36,VC_537_0,36,0.9691,1.0,0.9691,0,0,0,1.0
7010,MH513977,Unassigned,Unassigned,Unassigned,242_0,Clustered,69,VC_242_0,69,0.7874,1.0,0.7874,0,0,0,1.0
7011,MH513978,Unassigned,Unassigned,Unassigned,574_2,Clustered,16,VC_574_2,16,0.0912,1.0,0.0912,0,0,0,0.9333
7012,MH513979,Unassigned,Unassigned,Unassigned,691_0,Clustered,15,VC_691_0,15,0.2857,1.0,0.2857,0,0,0,0.9524
7013,MH513980,Unassigned,Unassigned,Unassigned,374_0,Clustered,8,VC_374_0,8,0.0242,1.0,0.0242,0,0,0,0.9286
7014,MH513981,Unassigned,Unassigned,Unassigned,1230_0,Clustered,78,VC_1230_0,78,0.774,1.0,0.774,0,0,0,1.0
7015,MH513982,Unassigned,Unassigned,Unassigned,1167_0,Clustered,26,VC_1167_0,26,0.4516,1.0,0.4516,0,0,0,1.0
7016,MH513983,Unassigned,Unassigned,Unassigned,574_3,Clustered,20,VC_574_3,20,0.1111,1.0,0.1111,0,0,0,0.8684
7017,MH513984,Unassigned,Unassigned,Unassigned,231_0,Clustered,5,VC_231_0,5,0.0593,0.99999995,0.0593,0,0,0,1.0
7018,MH513985,Unassigned,Unassigned,Unassigned,224_1,Clustered,17,VC_224_1,17,0.342,1.0,0.342,0,0,0,1.0
7019,MH523359,Unassigned,Unassigned,Unassigned,140_30,Clustered/Singleton,1,VC_140_30,1,0.0,0.0,0.0,0,0,0,1.0
7020,MH533020,Unassigned,Unassigned,Unassigned,858_0,Clustered,3,VC_858_0,3,0.0673,0.99688311,0.0671,0,0,0,1.0
7021,MH536736,Unassigned,Unassigned,Unassigned,83_0,Clustered,41,VC_83_0,41,0.6114,1.0,0.6114,0,0,0,0.9866
