id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
TC4_NODE_2_length_1431188_cov_647.988816_fragment_7	601	1	9100	1	100	100%
TC19_k99_29256	602	1	9080	1	100	100%
TC24_NODE_690_length_9010_cov_1.186874	603	1	9010	1	100	100%
TC46_NODE_897_length_8990_cov_1.257588	604	1	8990	1	100	100%
TC15_NODE_71_length_118908_cov_5.910238_fragment_3	605	1	8894	1	100	100%
TC36_NODE_142_length_56781_cov_2.139566_fragment_1_1	606	1	8891	1	100	100%
TC32_NODE_5_length_1149355_cov_47.716533_fragment_5_1	607	1	8863	1	100	100%
TC31_NODE_909_length_8815_cov_1.146984	608	1	8815	1	100	100%
TC10_NODE_137_length_8663_cov_6.226645	609	1	8663	1	100	100%
TC48_NODE_192_length_27554_cov_2.486054_fragment_1_1	610	1	8632	1	100	100%
TC19_k99_5787	611	1	8631	1	100	100%
TC26_NODE_621_length_8588_cov_1.341094	612	1	8588	1	100	100%
TC30_NODE_2_length_2539971_cov_38.752415_fragment_13_1	613	3	8586	1	100	100%
TC29_NODE_7_length_1672870_cov_23.016597_fragment_13_1	613	3	8586	0	100.00%	100%
TC25_k99_7844_fragment_4_1	613	3	8586	0	100.00%	100%
TC32_NODE_86_length_282059_cov_25.867876_fragment_1_1	614	2	8543	1	100	100%
TC43_NODE_46_length_282059_cov_4.965747_fragment_2	614	2	8058	0	99.99%	94%
TC21_NODE_888_length_8436_cov_4.591648	615	1	8436	1	100	100%
TC46_NODE_2_length_2911974_cov_72.510502_fragment_22	616	1	8389	1	100	100%
TC9_NODE_357_length_40039_cov_1.810233_fragment_2	617	1	8341	1	100	100%
TC44_NODE_12_length_802540_cov_6.386569_fragment_1	618	1	8303	1	100	100%
TC44_NODE_4_length_2252506_cov_13.870450_fragment_23	619	1	8263	1	100	100%
TC13_NODE_397_length_8254_cov_1.301587	620	1	8254	1	100	100%
TC24_NODE_758_length_8222_cov_1.180976	621	1	8222	1	100	100%
TC21_NODE_922_length_8174_cov_6.020380	622	1	8174	1	100	100%
TC15_NODE_1255_length_8109_cov_0.942370	623	1	8109	1	100	100%
TC12_NODE_48_length_211540_cov_35.066874_fragment_1_1	624	1	8027	1	100	100%
TC42_NODE_104_length_128199_cov_1.574583_fragment_3	625	1	8018	1	100	100%
TC22_k99_22133	626	1	8009	1	100	100%
TC19_k99_14676	627	1	7974	1	100	100%
TC2_NODE_978_length_7902_cov_0.899035	628	1	7902	1	100	100%
TC1_NODE_16_length_1054541_cov_7.646558_fragment_8	629	1	7879	1	100	100%
TC17_NODE_605_length_7783_cov_1.026515	630	1	7783	1	100	100%
TC31_NODE_1093_length_7776_cov_1.142894	631	1	7776	1	100	100%
TC29_NODE_29_length_554407_cov_12.344050_fragment_8	632	1	7747	1	100	100%
TC11_NODE_1356_length_7716_cov_3.232969	633	1	7716	1	100	100%
TC9_NODE_96_length_180047_cov_4.128713_fragment_4	634	1	7711	1	100	100%
TC5_NODE_325_length_7549_cov_2.278496	635	1	7549	1	100	100%
TC36_NODE_139_length_58879_cov_3.052168_fragment_1	636	1	7548	1	100	100%
TC16_NODE_244_length_7509_cov_65.745462	637	1	7509	1	100	100%
TC21_NODE_1039_length_7492_cov_1.565513	638	1	7492	1	100	100%
TC9_NODE_2012_length_7405_cov_69.775625	639	1	7405	1	100	100%
TC21_NODE_1061_length_7361_cov_1.101189	640	1	7361	1	100	100%
TC18_NODE_314_length_7318_cov_1.233347	641	1	7318	1	100	100%
TC15_NODE_1359_length_7288_cov_1.000000	642	1	7288	1	100	100%
TC10_NODE_12_length_490842_cov_6.506127_fragment_2_1	643	1	7279	1	100	100%
TC31_NODE_1206_length_7247_cov_1.132584	644	1	7247	1	100	100%
TC21_NODE_1090_length_7212_cov_1.272971	645	1	7212	1	100	100%
TC26_NODE_61_length_118463_cov_9.535391_fragment_1	646	1	7210	1	100	100%
TC44_NODE_1302_length_7207_cov_1.116384	647	1	7207	1	100	100%
TC47_NODE_256_length_7105_cov_1.087991	648	1	7105	1	100	100%
TC24_NODE_886_length_7064_cov_0.762577	649	1	7064	1	100	100%
TC7_NODE_352_length_27904_cov_14.267992_fragment_1_1	650	2	7015	1	100	100%
TC21_NODE_355_length_25727_cov_3.992500_fragment_1_1	650	2	6910	0	99.99%	98%
TC43_NODE_333_length_7002_cov_18.380945	651	3	7002	1	100	100%
TC32_NODE_480_length_7001_cov_6.847105	651	3	7001	0	100.00%	99%
TC29_NODE_1152_length_7001_cov_17.752546	651	3	7001	0	100.00%	99%
TC19_k99_20070	652	1	6993	1	100	100%
TC44_NODE_1372_length_6917_cov_0.808689	653	1	6917	1	100	100%
TC9_NODE_7_length_1394600_cov_14.790398_fragment_31	654	1	6915	1	100	100%
TC29_NODE_1164_length_6858_cov_13.078294	655	1	6858	1	100	100%
TC21_NODE_1169_length_6803_cov_3.292540	656	1	6803	1	100	100%
TC18_NODE_355_length_6784_cov_1.514196	657	1	6784	1	100	100%
TC10_NODE_155_length_6775_cov_0.951157	658	1	6775	1	100	100%
TC22_k99_9685	659	1	6725	1	100	100%
TC18_NODE_364_length_6697_cov_1.244749	660	1	6697	1	100	100%
TC22_k99_16296	661	1	6672	1	100	100%
TC21_NODE_1220_length_6608_cov_1.950779	662	1	6608	1	100	100%
TC1_NODE_142_length_209220_cov_32.470360_fragment_5	663	1	6523	1	100	100%
TC25_k99_949	664	1	6500	1	100	100%
TC12_NODE_48_length_211540_cov_35.066874_fragment_2	665	1	6484	1	100	100%
TC21_NODE_1274_length_6408_cov_0.953988	666	1	6408	1	100	100%
TC31_NODE_172_length_54427_cov_10.006151_fragment_1	667	1	6398	1	100	100%
TC49_NODE_6_length_646733_cov_70.616468_fragment_7	668	1	6378	1	100	100%
TC21_NODE_1285_length_6345_cov_3.962528	669	1	6345	1	100	100%
TC21_NODE_1286_length_6344_cov_3.375744	670	1	6344	1	100	100%
TC38_NODE_587_length_6311_cov_1.037678	671	1	6311	1	100	100%
TC27_NODE_206_length_6257_cov_1.952365	672	1	6257	1	100	100%
TC23_NODE_11_length_907578_cov_93.829391_fragment_2	673	1	6248	1	100	100%
TC9_NODE_255_length_62041_cov_4.588300_fragment_1_1	674	1	6247	1	100	100%
TC15_NODE_599_length_21877_cov_21.595908_fragment_2	675	1	6219	1	100	100%
TC22_k99_5090_fragment_10	676	1	6213	1	100	100%
TC36_NODE_1406_length_6212_cov_1.443878	677	1	6212	1	100	100%
TC2_NODE_1210_length_6166_cov_126.720980	678	1	6166	1	100	100%
TC44_NODE_1601_length_6144_cov_1.427289	679	1	6144	1	100	100%
TC7_NODE_2_length_1407101_cov_253.573458_fragment_10_1	680	1	6092	1	100	100%
TC15_NODE_15_length_337329_cov_6.110130_fragment_3	681	1	5972	1	100	100%
TC24_NODE_1064_length_5943_cov_1.210454	682	1	5943	1	100	100%
TC39_NODE_1055_length_5848_cov_0.709841	683	1	5848	1	100	100%
TC19_k99_19647	684	1	5810	1	100	100%
TC28_NODE_503_length_5809_cov_0.798310	685	1	5809	1	100	100%
TC48_NODE_10_length_688333_cov_2.601362_fragment_10_1	686	1	5782	1	100	100%
TC36_NODE_1554_length_5692_cov_1.720575	687	1	5692	1	100	100%
TC31_NODE_1725_length_5681_cov_0.863162	688	1	5681	1	100	100%
TC6_NODE_24_length_334762_cov_14.643899_fragment_4	689	1	5611	1	100	100%
TC15_NODE_1688_length_5560_cov_0.806737	690	1	5560	1	100	100%
TC43_NODE_380_length_5534_cov_2.150915	691	1	5534	1	100	100%
TC13_NODE_509_length_5513_cov_2.150576	692	1	5513	1	100	100%
TC37_NODE_29_length_373789_cov_3.370501_fragment_4	693	1	5464	1	100	100%
TC1_NODE_1321_length_5438_cov_0.989456	694	1	5438	1	100	100%
TC2_NODE_1380_length_5418_cov_1.051408	695	1	5418	1	100	100%
TC2_NODE_1385_length_5400_cov_0.818320	696	1	5400	1	100	100%
TC36_NODE_1661_length_5361_cov_1.501528	697	1	5361	1	100	100%
TC22_k99_6478_1	698	1	5341	1	100	100%
TC31_NODE_1903_length_5331_cov_1.014604	699	1	5331	1	100	100%
TC3_NODE_222_length_5326_cov_222.593383	700	2	5326	1	100	100%
TC46_NODE_1210_length_5326_cov_40.236392	700	2	5326	0	100.00%	100%
TC29_NODE_28_length_626913_cov_6.440319_fragment_3	701	1	5289	1	100	100%
TC9_NODE_2794_length_5245_cov_4.210825	702	1	5245	1	100	100%
TC29_NODE_20_length_734242_cov_6.047160_fragment_4	703	1	5231	1	100	100%
TC9_NODE_1872_length_7932_cov_1.104548_1	704	1	5221	1	100	100%
TC9_NODE_2829_length_5184_cov_1.072573	705	1	5184	1	100	100%
TC10_NODE_57_length_114557_cov_165.914100_fragment_3	706	1	5173	1	100	100%
TC24_NODE_1253_length_5145_cov_1.083499	707	1	5145	1	100	100%
TC31_NODE_2027_length_5137_cov_0.890619	708	1	5137	1	100	100%
TC22_k99_11530	709	1	5126	1	100	100%
TC16_NODE_281_length_5122_cov_40.560961	710	1	5122	1	100	100%
TC14_NODE_1609_length_5094_cov_1.379706	711	1	5094	1	100	100%
TC36_NODE_1770_length_5093_cov_1.325413	712	1	5093	1	100	100%
TC21_NODE_1680_length_5086_cov_0.661625	713	1	5086	1	100	100%
TC19_k99_3646	714	1	5020	1	100	100%
TC24_NODE_1293_length_5013_cov_1.400941	715	1	5013	1	100	100%
TC22_k99_18216_fragment_1_1	716	1	4646	1	100	100%
TC38_NODE_16_length_430220_cov_6.158608_fragment_1_1	717	1	4645	1	100	100%
TC15_NODE_1721_length_5433_cov_0.851300_1	718	1	4273	1	100	100%
TC31_NODE_1062_length_7892_cov_1.368448_1	719	1	4216	1	100	100%
TC15_NODE_142_length_78904_cov_1.463486_fragment_2_1	720	1	4170	1	100	100%
TC9_NODE_2228_length_6709_cov_1.063355_1	721	1	4076	1	100	100%
TC36_NODE_1246_length_6861_cov_0.987377_1	722	1	4057	1	100	100%
TC21_NODE_1296_length_6268_cov_1.641915_1	723	1	3048	1	100	100%
TC7_NODE_681_length_6587_cov_6.445666_1	724	1	1740	1	100	100%
TC9_NODE_2886_length_5069_cov_56.532578_1	725	1	1034	1	100	100%
